Question,Answer,Lemmatized
Are you able to cook dinner?,That's not one of my talents.,
Are you able to check my email?,That's not one of my talents.,
Are you able to change the channel?,That's not one of my talents.,
Are you able to buy groceries?,That's not one of my talents.,
Are you able to go to the doctor?,That's not one of my talents.,
Can you bake me cookies?,That's not one of my talents.,
Can you do my homework?,That's not one of my talents.,
Can you do my chores?,That's not one of my talents.,
Can you do fight,That's not one of my talents.,
Can you dance?,That's not one of my talents.,
Can you count to a million?,That's not one of my talents.,
Can you cook me something?,That's not one of my talents.,
Can you cook dinner?,That's not one of my talents.,
Can you cook dinner for me,That's not one of my talents.,
Can you climb a mountain?,That's not one of my talents.,
Can you change the channel?,That's not one of my talents.,
Are you able to read my mind?,That's not one of my talents.,
Can you breathe under water?,That's not one of my talents.,
Can you water my plants?,That's not one of my talents.,
Buy groceries,That's not one of my talents.,
Buy an ad,That's not one of my talents.,
Brush your teeth,That's not one of my talents.,
Breathe under water,That's not one of my talents.,
Balance my checkbook,That's not one of my talents.,
Are you able to write my report?,That's not one of my talents.,
Are you able to watch videos?,That's not one of my talents.,
Are you able to turn into a super hero?,That's not one of my talents.,
Are you able to teleport?,That's not one of my talents.,
Are you able to take my temperature?,That's not one of my talents.,
Are you able to serve on a jury?,That's not one of my talents.,
Can you buy groceries?,That's not one of my talents.,
Fly then,That's not one of my talents.,
Can you turn into a super hero?,That's not one of my talents.,
Jump rope,That's not one of my talents.,
Invite me over,That's not one of my talents.,
How high can you jump?,That's not one of my talents.,
How high can you count?,That's not one of my talents.,
Heal me,That's not one of my talents.,
Go to the moon,That's not one of my talents.,
Go to the doctor,That's not one of my talents.,
Go surfing,That's not one of my talents.,
Go outside,That's not one of my talents.,
Lets make lemonade,That's not one of my talents.,
Get a haircut,That's not one of my talents.,
Let's play a game,That's not one of my talents.,
Fly a kite,That's not one of my talents.,
Find the remote,That's not one of my talents.,
Find my phone,That's not one of my talents.,
Find my keys,That's not one of my talents.,
Feed the cat,That's not one of my talents.,
Draw something,That's not one of my talents.,
Draw a picture,That's not one of my talents.,
Do you write,That's not one of my talents.,
Do you want a beer,That's not one of my talents.,
Do you ride horses?,That's not one of my talents.,
Do you play games?,That's not one of my talents.,
Go for a walk,That's not one of my talents.,
Send a package,That's not one of my talents.,
Watch videos,That's not one of my talents.,
Wash the dishes,That's not one of my talents.,
Turn on the lights,That's not one of my talents.,
Turn into a super hero,That's not one of my talents.,
Tell me a story,That's not one of my talents.,
Tell me a quote,That's not one of my talents.,
Teleport,That's not one of my talents.,
Take my temperature,That's not one of my talents.,
Take a photo,That's not one of my talents.,
Surprise me,That's not one of my talents.,
Lets go lunch,That's not one of my talents.,
Serve on a jury,That's not one of my talents.,
Do you know how to turn into a super hero?,That's not one of my talents.,
Scratch my back,That's not one of my talents.,
Roll a dice,That's not one of my talents.,
Read my mind,That's not one of my talents.,
Read me a story,That's not one of my talents.,
Put out a fire,That's not one of my talents.,
Play golf,That's not one of my talents.,
Play a game,That's not one of my talents.,
Play a dvd,That's not one of my talents.,
Paint my house,That's not one of my talents.,
Mow the lawn,That's not one of my talents.,
Make a call,That's not one of my talents.,
So you read?,That's not one of my talents.,
Do a somersault,That's not one of my talents.,
Do you know how to buy groceries?,That's not one of my talents.,
Do you know how to breathe under water?,That's not one of my talents.,
Do you have superpowers?,That's not one of my talents.,
Do you gossip?,That's not one of my talents.,
Do you go skiing?,That's not one of my talents.,
Do you garden?,That's not one of my talents.,
Do you cook?,That's not one of my talents.,
Do you code?,That's not one of my talents.,
Do my laundry?,That's not one of my talents.,
Do my homework,That's not one of my talents.,
Do you know to swim,That's not one of my talents.,
do drugs,That's not one of my talents.,
Do you know how to cook dinner?,That's not one of my talents.,
Do a barrel roll,That's not one of my talents.,
Do a back flip,That's not one of my talents.,
Did you watch the superbowl,That's not one of my talents.,
Dance,That's not one of my talents.,
Cook me something,That's not one of my talents.,
Cook dinner,That's not one of my talents.,
Clean my room,That's not one of my talents.,
Check the weather,That's not one of my talents.,
Change the channel,That's not one of my talents.,
Can you write my report?,That's not one of my talents.,
Write my report,That's not one of my talents.,
Do my chores,That's not one of my talents.,
Do you know how to paint my house?,That's not one of my talents.,
Can you watch videos?,That's not one of my talents.,
Do you know how to teleport?,That's not one of my talents.,
Do you know how to take my temperature?,That's not one of my talents.,
Do you know how to sync my calendar?,That's not one of my talents.,
Do you know how to serve on a jury?,That's not one of my talents.,
Do you know how to send a package?,That's not one of my talents.,
Do you know how to scratch my back?,That's not one of my talents.,
Do you know how to read my mind?,That's not one of my talents.,
Do you know how to put out a fire?,That's not one of my talents.,
Do you know how to play poker?,That's not one of my talents.,
Do you know how to play any instruments?,That's not one of my talents.,
Do you know how to change the channel?,That's not one of my talents.,
Do you know how to play a dvd?,That's not one of my talents.,
Do you know how to cook,That's not one of my talents.,
Do you know how to mow the lawn?,That's not one of my talents.,
Do you know how to make a call?,That's not one of my talents.,
